X	E0	E1	E2	E3	E4	E5	E6
0	3	-0.0730965751156571	-0.0456853594472857	0.00228426797236428	0.0900858181601165	0.257229988700459	0.586231498634169
0.04	2.34101391364426	-0.0702304174093279	-0.04284055461969	0.00510223982478766	0.0928642851108082	0.259940610689189	0.588811677332412
0.08	1.12461072256903	-0.0674766433541417	-0.0401486027957143	0.00771595416754611	0.095361813253003	0.262237088608299	0.590719657921131
0.12	0.720342736934524	-0.0648308463241071	-0.0376018908679821	0.0101363028227742	0.0975927660481957	0.264137706731867	0.591978646683967
0.16	0.519073270662578	-0.0622887924795093	-0.0351931677509228	0.0123736686260545	0.0995709628221146	0.265660430214789	0.592612336807983
0.2	0.398976093279088	-0.0598464139918632	-0.0329155276955248	0.014437947375537	0.10130969278582	0.266822880330171	0.592644776781763
0.24	0.319443347414	-0.05749980253452	-0.0307623943559682	0.0163385688901839	0.102821729077729	0.267642313088735	0.592100250814624
0.28	0.263072395373861	-0.0552452030285108	-0.0287275055748256	0.018084517211383	0.104119342791214	0.26813560097256	0.591003170438387
0.32	0.221162531806746	-0.0530790076336191	-0.0268048988549777	0.0196843499809277	0.105214316955644	0.268319217532979	0.589377976504126
0.36	0.18888055546321	-0.0509977499750668	-0.0249888974877827	0.0211462170271614	0.106117960441837	0.268209224618898	0.587249050834493
0.4	0.16332699865525	-0.0489980995965749	-0.0232740973083731	0.0224778781899287	0.106841121765638	0.267821262017288	0.58464063683767
0.44	0.142657141305827	-0.0470768566309228	-0.0216553540502245	0.0236867204138488	0.107394202766041	0.267170539302174	0.581576768431907
0.48	0.125641518554107	-0.0452309466794787	-0.020127771272368	0.0247797741383524	0.10778717213667	0.266271829702135	0.578081206670108
0.52	0.111429271519243	-0.043457415892505	-0.0186866888337771	0.0257637290118716	0.10802957879171	0.265139465809205	0.574177383492127
0.56	0.0994129196246883	-0.0417534262423691	-0.0173276718905832	0.0266449489565678	0.108130565049517	0.263787336964165	0.569888352068474
0.6	0.0891472244046527	-0.0401162509820937	-0.0160465003928375	0.0274294866090066	0.108098879619046	0.262228888164598	0.565236743233095
0.64	0.0802984797541242	-0.0385432702819796	-0.0148391590585622	0.0281230971612464	0.107942890376073	0.260477120352745	0.560244727534965
0.68	0.0726117000731757	-0.0370319670373196	-0.0137018278038083	0.0287312516259044	0.107670596917871	0.258544591950247	0.554933982468383
0.72	0.0658887460009141	-0.0355799228404936	-0.0126308726083752	0.0292591495478799	0.10728964288651	0.256443421516248	0.54932566447034
0.76	0.0599733580894751	-0.0341848141110008	-0.0116228367977403	0.0297117311845764	0.106807328052433	0.254185291414201	0.543440385300134
0.8	0.0547406806287248	-0.0328444083772349	-0.0106744327226013	0.0300936891756415	0.106230620151238	0.251781452380981	0.53729819244163
0.84	0.0500897788953228	-0.0315565607040534	-0.00978253381825654	0.030409479722461	0.10556616646784	0.249242728899681	0.530918553192361
0.88	0.0459381973642783	-0.0303192102604237	-0.00894416702682498	0.0306633332968795	0.104820305163284	0.246579525284786	0.524320342126007
0.92	0.0422179377125418	-0.0291303770216538	-0.00815650556606307	0.030859264897889	0.103999076340541	0.243801832395191	0.517521831635862
0.96	0.0388724425012924	-0.0279881586009305	-0.00741686202924658	0.0310010838743207	0.103108232846515	0.240919234896979	0.510540685286695
1	0.0358543029401257	-0.0268907272050943	-0.00672268180127357	0.0310924033308903	0.102153250808415	0.237940919003827	0.503393953721039
1.04	0.0331234957817701	-0.0258363267097807	-0.00607153677679846	0.0311366491342922	0.101139339903366	0.234875680628511	0.496098072883437
1.08	0.0306460121595634	-0.0248232698492464	-0.0054611193668342	0.0311370685354022	0.100071453360922	0.23173193388426	0.488668864342643
1.12	0.0283927803766478	-0.0238499355163842	-0.00488923678085875	0.0310967384230375	0.0989542976987534	0.228517719879555	0.481121537507236
1.16	0.0263388116880527	-0.0229147661686058	-0.00435380557203511	0.0310185732241333	0.0977923421923935	0.225240715754595	0.473470693544599
1.2	0.0244625170393794	-0.0220162653354414	-0.00385284643370225	0.0309053324646259	0.0965898280804778	0.221908243911908	0.465730330826885
1.24	0.0227451561546962	-0.0211529952238675	-0.0033844792358188	0.0307596280047869	0.0953507775073833	0.218527281397592	0.457913851740335
1.28	0.0211703900182619	-0.0203235744175314	-0.00294691829054206	0.0305839309622222	0.0940790022056224	0.215104469393388	0.450034070706366
1.32	0.0197239148143339	-0.0195266756661905	-0.00253846783660477	0.0303805783352425	0.0927781119207401	0.211646122783273	0.442103223274053
1.36	0.0183931605508123	-0.0187610237618285	-0.00215751773261028	0.0301517793388227	0.0914515225818135	0.208158239761499	0.434132976154195
1.4	0.0171670414267149	-0.0180253934980506	-0.00180253934980506	0.0298996214648915	0.0901024642209667	0.204646511452034	0.426134438075062
1.44	0.0160357478791592	-0.017318607709492	-0.00147208165530682	0.0296260762782425	0.088733988645593	0.201116331512136	0.418118171349125
1.48	0.0149905724217134	-0.0166395353881019	-0.00116476747716713	0.0293330049589155	0.0873489768672167	0.19757280569546	0.41009420404878
1.52	0.0140237630467453	-0.0159870898732897	-0.000879289943030928	0.0290221636014764	0.0859501462911434	0.194020761352484	0.402072042697168
1.56	0.0131283992419109	-0.0153602271130358	-0.000614409084521426	0.0286952082812178	0.0845400576712274	0.190464756848314	0.394060685387769
1.6	0.0122982866609883	-0.0147579439931859	-0.000368948599829647	0.0283536998969085	0.0831211218342462	0.186909090880036	0.386068635253545
1.64	0.0115278672619955	-0.0141792767322545	-0.000141792767322541	0.0279991087993464	0.0816956061785019	0.183357811677697	0.378103914213025
1.68	0.0108121423326733	-0.0136232993391684	6.81164966958425E-05	0.0276328192146022	0.0802656409513804	0.179814726074835	0.37017407692691
1.72	0.0101466063034758	-0.0130891221314838	0.00026178244262968	0.0272561334704953	0.0788332253106906	0.176283408436115	0.362286224904531
1.76	0.00952718963007924	-0.0125758903117046	0.000440156160909665	0.0268702760345037	0.0774002331746723	0.172767209431192	0.35444702070491
1.8	0.00895020933290652	-0.0120827825994238	0.000604139129971194	0.0264763973709874	0.0759684188656179	0.169269264645327	0.346662702182129
1.84	0.00841232602688394	-0.0116090099170998	0.000754585644611491	0.0260755776252938	0.0745394225520889	0.165792503018623	0.338939096729458
1.88	0.00791050647330788	-0.0111538141273641	0.000892305130189133	0.0256688301420094	0.073114775494727	0.162339655106931	0.331281635480966
1.92	0.00744199084711071	-0.0107164668198394	0.00101806434788475	0.0252571048243386	0.0716959051006733	0.15891326115862	0.323695367433444
1.96	0.00700426404457687	-0.010296268145528	0.00113258949600809	0.0248412913413082	0.0702841397916013	0.155515679002412	0.316184973455179
2	0.00659503046460252	-0.00989254569690378	0.00123656821211298	0.0244222221892312	0.0688807136903555	0.152149091742429	0.308754780151657
2.04	0.00621219178556661	-0.00950465343191692	0.00133065148046837	0.024000675613605	0.0674867711311638	0.148815515257477	0.301408773561452
2.08	0.00585382733345426	-0.00913197064018866	0.00141545544922925	0.0235773783973711	0.0661033709983567	0.145516805502362	0.294150612658623
2.12	0.00551817669795115	-0.00877390094974234	0.0014915631614562	0.0231530085212276	0.0647314908984821	0.14225466560976	0.286983642640669
2.16	0.00520362430412406	-0.00842987137268098	0.00155952620394598	0.0227281977014538	0.0633720311706601	0.139030652791843	0.279910907983697
2.2	0.00490868568986932	-0.00809933138828438	0.00161986627765688	0.0223035338104881	0.0620258187399583	0.135846185041422	0.272935165248823
2.24	0.00463199527503485	-0.00778175206205856	0.00167307669334259	0.021879563185287	0.0606936108185134	0.132702547632956	0.266058895626019
2.28	0.00437229543820332	-0.00747662519932768	0.00171962379584537	0.0214567928282905	0.0593760984590517	0.129600899424219	0.259284317203653
2.32	0.00412842674253687	-0.00718346253201417	0.00175994832034347	0.0210356925056237	0.0580739099653916	0.126542278959918	0.252613396953819
2.36	0.00389931917361899	-0.00690179493730562	0.00179446668369946	0.0206166967469725	0.0567876141644357	0.123527610378891	0.246047862425286
2.4	0.00368398427053234	-0.00663117168695821	0.00182357221391351	0.0202002067513965	0.0555177235440783	0.120557709126933	0.239589213137446
2.44	0.00348150804701385	-0.00637115972603534	0.00184763632055025	0.0197865922031617	0.0542646972613722	0.117633287477564	0.233238731670111
2.48	0.00329104461286417	-0.00612134297992736	0.00186700960887785	0.0193761930015131	0.0530289440252165	0.11475495986338	0.226997494445303
2.52	0.00311181041721874	-0.00588132168854342	0.0018820229403339	0.0189693209081435	0.0518108248577335	0.111923248020842	0.220866382198416
2.56	0.00294307904510939	-0.00565071176661003	0.00189298844181436	0.0185662611159623	0.0506106557384215	0.109138585951615	0.214846090137194
