T	X1	X12	X14	X16	X18	X2
4.3	-2.835798719	-2.574568579	-2.29301666	-2.003721545	-1.717472941	-1.442852181
4.4	-3.530320846	-3.204072163	-2.853444559	-2.493731261	-2.138073417	-1.796955735
4.5	-4.152041566	-3.767748023	-3.35542151	-2.932782503	-2.515075069	-2.11448633
4.6	-4.678342007	-4.245097817	-3.780701727	-3.304925457	-2.834790727	-2.383923974
4.7	-5.088722924	-4.617540462	-4.112742425	-3.595695565	-3.084804472	-2.594815533
4.8	-5.36533464	-4.868892446	-4.33713141	-3.79248735	-3.254292477	-2.738044809
4.9	-5.493437601	-4.985785326	-4.441958822	-3.884879497	-3.334302078	-2.806067524
5	-5.461786613	-4.958014141	-4.418127435	-3.864906283	-3.317984877	-2.793107681
5.1	-5.262933623	-4.778812049	-4.259597368	-3.727271737	-3.200780743	-2.695312642
5.2	-4.893445582	-4.445048079	-3.963562408	-3.469504063	-2.98055061	-2.510865166
5.3	-4.354035602	-3.957346345	-3.530556468	-3.092049043	-2.657656961	-2.240051454
5.4	-3.649607157	-3.320126501	-2.964489996	-2.598302248	-2.234991829	-1.885285069
5.5	-2.789212555	-2.541566546	-2.272617285	-1.99458088	-1.717953038	-1.451087313
5.6	-1.785928269	-1.633490302	-1.465436784	-1.290037066	-1.114370227	-0.944025363
5.7	-0.656650949	-0.61118304	-0.556527459	-0.496515278	-0.434382936	-0.372610092
5.8	0.57818091	0.506860262	0.437674802	0.371642644	0.309726245	0.252843944
5.9	1.894933735	1.699248667	1.498155955	1.297840698	1.103739924	0.92039333
5.99999999999999	3.267187221	2.942064849	2.603652261	2.263515375	1.931751428	1.616672012
6.09999999999999	4.666196756	4.209283656	3.73102238	3.248460445	2.776443065	2.327125066
6.19999999999999	6.061401742	5.473232311	4.85565652	4.231184171	3.619392226	3.036265925
6.29999999999999	7.420971236	6.705084436	5.951915732	5.189292894	4.441400136	3.727952682
6.39999999999999	8.712377942	7.875379805	6.99359413	6.099894678	5.22283785	4.385678939
6.49999999999999	9.902991385	8.954561527	7.954396663	6.940016596	5.944003989	4.992874564
6.59999999999999	10.96068104	9.913522275	8.808424978	7.68702912	6.585488612	5.533211653
6.69999999999999	11.85442018	10.72415121	9.530663943	8.319071141	7.128537665	5.990911017
6.79999999999999	12.55488127	11.35987333	10.09746151	8.815469207	7.555412522	6.351044584
